key,raw_variants,normalized_variants,collapsed
addr:district,12605,11259,1346
network,9669,9021,648
name:ca,19249,18920,329
designation,9264,8941,323
colour,5790,5486,304
addr:province,2603,2331,272
addr:village,10999,10745,254
name:mn,3350,3121,229
addr:state,1244,1026,218
contact:housenumber,3025,2818,207
brewery,4048,3864,184
name:sw,20631,20449,182
amenity,6436,6273,163
collection_times,16273,16112,161
shop,9227,9069,158
name:it,14410,14258,152
manufacturer,2102,1967,135
healthcare:speciality,14467,14336,131
charge,6577,6454,123
fixme:type,2452,2330,122
internet_access:ssid,6987,6865,122
denomination,2200,2079,121
office,4209,4089,120
brand:wikipedia,9755,9641,114
operator:description,1244,1131,113
name:vi,6196,6087,109
addr:ward,5049,4940,109
service_times,4930,4823,107
artwork_subject,3368,3263,105
name:sr,12614,12519,95
name:ja_rm,4415,4330,85
sport,7142,7060,82
addr:subward,12918,12838,80
product,3438,3361,77
name:sr-Latn,10332,10255,77
name:pl,8435,8358,77
brand:en,3357,3283,74
type,1277,1203,74
name:el,13560,13487,73
name:pt,19450,19378,72
material,3179,3112,67
addr:milestone,1412,1345,67
name:ro,8590,8525,65
vending,3769,3706,63
addr:block,3360,3298,62
ele,16746,16688,58
capacity,3097,3040,57
was:name,7741,7685,56
contact:city,6233,6179,54
direction,4334,4281,53
operator:type,818,769,49
name:br,5103,5054,49
waste,2055,2006,49
name:tr,6358,6311,47
historic,2471,2424,47
fee,2118,2072,46
name:hu,4641,4595,46
owner,8270,8225,45
name:cnr,1777,1732,45
name:cnr-Latn,1759,1714,45
species,987,943,44
paho:commune,178,134,44
historic:civilization,814,770,44
model,1810,1768,42
government,1344,1304,40
description:en,15071,15032,39
socket:type2:output,434,395,39
addr:parish,6032,5993,39
source:addr,1610,1573,37
locality,990,954,36
name:nl,6882,6846,36
is_in:health_level8,373,337,36
addr:door,2897,2862,35
addr:floor,1021,986,35
level,1266,1231,35
operator:funding,419,385,34
socket:type2_combo:output,462,428,34
board:title,18716,18682,34
post:housenumber,5064,5031,33
post_office:brand,403,370,33
board_type,1484,1451,33
name_disaster,161,128,33
delivery:partner,250,218,32
comment,3132,3100,32
alt_name:en,10043,10011,32
contact:twitter,12016,11984,32
name:hy,2844,2813,31
license_classes,694,663,31
name:kk,2102,2072,30
religion,818,789,29
name:cs,3511,3482,29
source:name,1692,1663,29
memorial,1024,996,28
charging_station:output,335,308,27
object:housenumber,655,628,27
clothes,4156,4130,26
addr:streetnumber,376,350,26
name:ja-Latn,3948,3923,25
operator:wikipedia,3296,3273,23
school:ML:cap,91,68,23
tourism,951,928,23
artwork_type,1062,1041,21
official_name:en,926,906,20
operational_status,174,154,20
name:sq,2262,2242,20
heritage:operator,291,271,20
memorial:conflict,526,506,20
craft,2584,2565,19
healthcare,1127,1108,19
water_source,263,244,19
FIXME,866,847,19
name:sv,4851,4833,18
operator:en,1369,1351,18
origin,342,324,18
information,1437,1420,17
is_in:suburb,1362,1345,17
opening_hours:covid19,2538,2521,17
addr:quarter,11408,11391,17
watsan:cost,170,153,17
address,3976,3960,16
name:bg,2661,2645,16
school,245,230,15
name:fi,5542,5527,15
source:addr:postcode,119,104,15
location,2248,2233,15
name:ne,8823,8808,15
water:condition,87,73,14
bicycle_parking,561,547,14
description:de,5835,5821,14
source:position,1477,1463,14
name:az,1282,1268,14
socket:type2_cable:output,108,95,13
wheelchair:description:de,746,733,13
socket:chademo:output,168,155,13
source:postcode,91,78,13
social_facility:for,838,825,13
building:colour,146,133,13
IPP:BAIRRO,173,160,13
education:school_head,601,588,13
addr:subcounty,1346,1333,13
fitness_station,716,703,13
leisure,931,918,13
dance:style,745,733,12
school:ML:academie,36,24,12
place:area_alternate,187,175,12
subject,2939,2927,12
consulting,834,822,12
ruins,420,408,12
description:it,2813,2802,11
animal,363,352,11
education:extra_other,153,142,11
target,581,570,11
school_district,40,29,11
name:eu,2663,2653,10
historic:period,316,306,10
brand:fr,351,341,10
disused:name,2999,2989,10
is_in:village,527,517,10
naptan:Street,432,422,10
post_office:service_provider,221,211,10
school:type_idn,43,33,10
grades,692,682,10
social_facility,441,431,10
ref:FR:NAF,915,905,10
name:ms,8080,8070,10
power,178,168,10
delivery,941,932,9
loc_name,6783,6774,9
category,173,164,9
brand:ru,442,433,9
playground:arranged_name,83,74,9
min_age,270,261,9
is_in:admin_level8,58,49,9
name:lt,2208,2199,9
name:th,13683,13675,8
symbol,229,221,8
place:village,403,395,8
naptan:Indicator,401,393,8
operator_name,306,298,8
oslokommune:Regulering,120,112,8
strapline,1900,1892,8
wholesale,626,618,8
condition,62,54,8
post:state,74,67,7
output,73,66,7
branch:en,1713,1706,7
trade,847,840,7
cityracks.street,721,714,7
source:geometry,209,202,7
description:fr,2152,2145,7
is_in:admin_level7,39,32,7
naptan:Landmark,438,431,7
education:program_other,112,105,7
addr:hamlet,5668,5661,7
supervised,57,50,7
direction_northwest,14864,14857,7
website:menu,23337,23330,7
direction_southeast,14838,14831,7
addr:zone,176,169,7
service,969,962,7
education:exam_affiliate,117,110,7
amenity_1,343,337,6
building:material,233,227,6
castle_type:de,19,13,6
addr:town,2555,2549,6
roof:material,147,141,6
heritage:website,2689,2683,6
addr:county,1210,1204,6
name:uk-Latn,231,225,6
building,459,453,6
official_name:fr,126,120,6
money_transfer,95,89,6
surface,337,331,6
health_facility:CD,31,25,6
