key,part,n,nd_after_split
brand,ozon,32131,60574
brand,7-eleven,25107,60574
brand,royal mail,21974,60574
brand,subway,19255,60574
brand,paczkomat inpost,18614,60574
brand,shell,14725,60574
brand,hello cycling,13993,60574
brand,starbucks,13358,60574
brand,deutsche post,13034,60574
brand,пятёрочка,12990,60574
brand,canada post,12811,60574
brand,сбербанк,12555,60574
brand,mcdonald's,12015,60574
brand,la poste,10463,60574
brand,dhl packstation,9567,60574
brand,posten,9438,60574
brand,domino's,8363,60574
brand,магнит,8065,60574
brand,kfc,7305,60574
brand,żabka,7221,60574
brand,youbike 2.0,7004,60574
brand,wildberries,6711,60574
brand,packeta,6546,60574
brand,bp,6544,60574
brand,post office,6452,60574
brand,burger king,6301,60574
brand,familymart,5910,60574
brand,anganwadi,5773,60574
brand,crédit agricole,5669,60574
brand,spar,5664,60574
brand,esso,5622,60574
brand,euronet,5318,60574
brand,почта россии,5262,60574
brand,dunkin',5022,60574
brand,pizza hut,4897,60574
brand,tesla supercharger,4738,60574
brand,docomo bike share,4666,60574
brand,geldmaat,4583,60574
brand,oxxo,4554,60574
brand,красное&белое,4545,60574
clothes,women,39380,1768
clothes,men,19416,1768
clothes,underwear,13088,1768
clothes,children,12398,1768
clothes,wedding,5379,1768
clothes,sports,4357,1768
clothes,fashion,2932,1768
clothes,babies,2837,1768
clothes,suits,2431,1768
clothes,workwear,2424,1768
clothes,denim,2325,1768
clothes,hats,1840,1768
clothes,oversize,1269,1768
clothes,outdoor,1157,1768
clothes,swimwear,1058,1768
clothes,traditional,798,1768
clothes,lingerie,716,1768
clothes,yes,674,1768
clothes,socks,513,1768
clothes,unisex,508,1768
clothes,fur,453,1768
clothes,luxury,292,1768
clothes,leather,292,1768
clothes,costumes,288,1768
clothes,maternity,282,1768
clothes,motorcycle,255,1768
clothes,schoolwear,239,1768
clothes,vintage,235,1768
clothes,jeans,191,1768
clothes,shoes,178,1768
clothes,second_hand,170,1768
clothes,unisexs,164,1768
clothes,western,157,1768
clothes,accessories,143,1768
clothes,military,123,1768
clothes,bridal,95,1768
clothes,uniforms,79,1768
clothes,dance,60,1768
clothes,sport,54,1768
clothes,shirts,51,1768
cuisine,pizza,150406,13070
cuisine,coffee_shop,120543,13070
cuisine,burger,93247,13070
cuisine,regional,85130,13070
cuisine,sandwich,65206,13070
cuisine,italian,65184,13070
cuisine,chinese,60248,13070
cuisine,chicken,43863,13070
cuisine,kebab,38786,13070
cuisine,japanese,38625,13070
cuisine,mexican,31635,13070
cuisine,asian,28535,13070
cuisine,sushi,28474,13070
cuisine,indian,27839,13070
cuisine,ice_cream,24482,13070
cuisine,american,22026,13070
cuisine,thai,19838,13070
cuisine,seafood,19498,13070
cuisine,breakfast,18732,13070
cuisine,french,17803,13070
cuisine,korean,16767,13070
cuisine,bubble_tea,14239,13070
cuisine,barbecue,13962,13070
cuisine,vietnamese,13846,13070
cuisine,greek,13743,13070
cuisine,international,13136,13070
cuisine,local,12739,13070
cuisine,steak_house,12323,13070
cuisine,noodle,12062,13070
cuisine,german,11942,13070
cuisine,turkish,11622,13070
cuisine,fish,11126,13070
cuisine,donut,11047,13070
cuisine,cake,10885,13070
cuisine,fish_and_chips,10409,13070
cuisine,ramen,10028,13070
cuisine,pasta,10017,13070
cuisine,tea,8508,13070
cuisine,mediterranean,8165,13070
cuisine,juice,7892,13070
diet,vegan,13,22
diet,halal,6,22
diet,yes,6,22
diet,gluten_free,5,22
diet,kosher,4,22
diet,vegetarian,3,22
diet,vegan:only,2,22
diet,meat,2,22
diet,chaat,1,22
diet,healthy food,1,22
diet,gluten-free,1,22
diet,vegetarian/vegan,1,22
diet,ethnic,1,22
diet,cold_food,1,22
diet,italian,1,22
diet,flexitarian,1,22
diet,only,1,22
diet,food and drink,1,22
diet,hot_food,1,22
diet,yakitori,1,22
diet,świeże surówki gorące przekąski,1,22
diet,ramen,1,22
healthcare:speciality,general,30915,8549
healthcare:speciality,chiropractic,6872,8549
healthcare:speciality,gynaecology,6748,8549
healthcare:speciality,dentist,6685,8549
healthcare:speciality,paediatrics,6451,8549
healthcare:speciality,internal,6118,8549
healthcare:speciality,ophthalmology,5950,8549
healthcare:speciality,dermatology,4959,8549
healthcare:speciality,orthodontics,4866,8549
healthcare:speciality,orthopaedics,4729,8549
healthcare:speciality,psychiatry,4436,8549
healthcare:speciality,osteopathy,3745,8549
healthcare:speciality,biology,3290,8549
healthcare:speciality,otolaryngology,2950,8549
healthcare:speciality,physiotherapy,2908,8549
healthcare:speciality,cardiology,2860,8549
healthcare:speciality,radiology,2784,8549
healthcare:speciality,acupuncture,2654,8549
healthcare:speciality,surgery,2565,8549
healthcare:speciality,neurology,2230,8549
healthcare:speciality,urology,2179,8549
healthcare:speciality,traditional_chinese_medicine,2104,8549
healthcare:speciality,plastic_surgery,2053,8549
healthcare:speciality,podiatry,1440,8549
healthcare:speciality,naturopathy,1371,8549
healthcare:speciality,vaccination,1331,8549
healthcare:speciality,dental_oral_maxillo_facial_surgery,1280,8549
healthcare:speciality,emergency,1261,8549
healthcare:speciality,gastroenterology,1213,8549
healthcare:speciality,stomatology,1207,8549
healthcare:speciality,physiatry,1172,8549
healthcare:speciality,dentistry,1143,8549
healthcare:speciality,blood_check,1125,8549
healthcare:speciality,nephrology,1050,8549
healthcare:speciality,community,1017,8549
healthcare:speciality,homeopathy,990,8549
healthcare:speciality,child_psychiatry,972,8549
healthcare:speciality,allergology,833,8549
healthcare:speciality,pulmonology,789,8549
healthcare:speciality,oncology,761,8549
sport,fitness,55793,3154
sport,table_tennis,37238,3154
sport,basketball,15594,3154
sport,swimming,9742,3154
sport,yoga,7327,3154
sport,soccer,6240,3154
sport,chess,6020,3154
sport,multi,5637,3154
sport,climbing,5554,3154
sport,baseball,5491,3154
sport,tennis,5426,3154
sport,gymnastics,3526,3154
sport,shooting,3318,3154
sport,skateboard,3309,3154
sport,equestrian,2883,3154
sport,boules,2689,3154
sport,exercise,2557,3154
sport,volleyball,2294,3154
sport,billiards,2198,3154
sport,pilates,1802,3154
sport,running,1679,3154
sport,athletics,1612,3154
sport,cycling,1579,3154
sport,disc_golf,1574,3154
sport,skiing,1547,3154
sport,scuba_diving,1527,3154
sport,archery,1474,3154
sport,10pin,1360,3154
sport,padel,1328,3154
sport,badminton,1294,3154
sport,martial_arts,1176,3154
sport,boxing,1146,3154
sport,golf,1113,3154
sport,crossfit,1016,3154
sport,beachvolleyball,974,3154
sport,karate,918,3154
sport,canoe,909,3154
sport,cricket,864,3154
sport,climbing_adventure,840,3154
sport,weightlifting,786,3154
vending,parking_tickets,101054,2059
vending,excrement_bags,61231,2059
vending,drinks,51379,2059
vending,public_transport_tickets,33257,2059
vending,cigarettes,32055,2059
vending,fuel,10827,2059
vending,food,9597,2059
vending,sweets,8466,2059
vending,coffee,5940,2059
vending,water,4930,2059
vending,condoms,3834,2059
vending,newspapers,3754,2059
vending,bottle_return,3564,2059
vending,milk,1862,2059
vending,eggs,1858,2059
vending,bread,1822,2059
vending,pizza,1586,2059
vending,bicycle_tube,1440,2059
vending,movies,1377,2059
vending,ice_cream,1119,2059
vending,elongated_coin,1087,2059
vending,ice_cubes,908,2059
vending,chewing_gums,792,2059
vending,snacks,747,2059
vending,gas,722,2059
vending,stamps,683,2059
vending,toys,595,2059
vending,admission_tickets,529,2059
vending,flowers,466,2059
vending,contact_lenses,461,2059
vending,meat,404,2059
vending,animal_feed,404,2059
vending,parcel_pickup,392,2059
vending,potatoes,372,2059
vending,honey,351,2059
vending,cheese,306,2059
vending,electronics,288,2059
vending,candles,277,2059
vending,feminine_hygiene,252,2059
vending,no,236,2059
waste,trash,288896,800
waste,dog_excrement,36903,800
waste,cigarettes,17746,800
waste,mixed,14285,800
waste,recycling,8239,800
waste,organic,5221,800
waste,plastic,3522,800
waste,litter,2510,800
waste,paper,2436,800
waste,glass,2224,800
waste,household,2113,800
waste,drugs,231,800
waste,toilet,195,800
waste,solid waste,184,800
waste,ash,180,800
waste,excrements,166,800
waste,pmd,162,800
waste,sharps,162,800
waste,waste_dumping_site,156,800
waste,cardboard,150,800
waste,waste,149,800
waste,éteignoir,141,800
waste,cans,128,800
waste,domestic,116,800
waste,packaging,114,800
waste,industrial,112,800
waste,metal,103,800
waste,solid_waste,98,800
waste,grey_water,86,800
waste,none,79,800
waste,human waste,67,800
waste,蛍光灯,64,800
waste,電池,63,800
waste,hot_coals,58,800
waste,clothes,57,800
waste,containers,55,800
waste,rubble,54,800
waste,domestic_waste,53,800
waste,glas,52,800
waste,dog,50,800
