key,value,n
addr:country,DE,314762
addr:country,TW,54001
addr:country,AT,47979
addr:country,US,39478
addr:country,IT,37709
addr:country,GB,37474
addr:country,AR,20004
addr:country,LV,19649
addr:country,IQ,15942
addr:country,SE,15532
addr:country,CH,14847
addr:country,MD,13994
addr:country,DZ,12942
addr:country,CL,11786
addr:country,FR,8798
addr:country,CZ,7002
addr:country,ZA,6914
addr:country,RU,6672
addr:country,FI,5654
addr:country,UY,5649
addr:country,GR,5623
addr:country,PL,4833
addr:country,NL,4680
addr:country,AM,4521
addr:country,RO,4051
addr:country,BE,3903
addr:country,UG,3890
addr:country,PT,3818
addr:country,BY,3791
addr:country,UZ,3751
addr:country,BR,3405
addr:country,PK,3233
addr:country,HT,3047
addr:country,SG,2775
addr:country,TR,2612
addr:country,VE,2207
addr:country,JP,2047
addr:country,MY,2023
addr:country,AU,1894
addr:country,CA,1846
aeroway,aerodrome,90
aeroway,airstrip,52
aeroway,windsock,31
aeroway,fuel,24
aeroway,helipad,13
aeroway,parking_position,13
aeroway,check-in,7
aeroway,terminal,3
aeroway,no,3
aeroway,navigationaid,2
aeroway,yes,2
aeroway,lounge,2
aeroway,obstacle,1
aeroway,gate,1
aeroway,aircraft_crossing,1
aeroway,airplane,1
aeroway,hangar,1
aeroway,club,1
artwork_type,sculpture,112233
artwork_type,statue,81005
artwork_type,mural,27428
artwork_type,installation,15076
artwork_type,bust,8429
artwork_type,graffiti,8388
artwork_type,mosaic,3108
artwork_type,stone,2589
artwork_type,painting,2386
artwork_type,relief,2183
artwork_type,architecture,1017
artwork_type,dwarf,822
artwork_type,street_art,743
artwork_type,mural_painting,661
artwork_type,aircraft,422
artwork_type,vase,337
artwork_type,stele,334
artwork_type,poem,311
artwork_type,totem_pole,311
artwork_type,tilework,303
artwork_type,fountain,295
artwork_type,column,219
artwork_type,land_art,182
artwork_type,ornamental_vase,168
artwork_type,pinwheel,163
artwork_type,photo,151
artwork_type,azulejo,151
artwork_type,carving,145
artwork_type,star,129
artwork_type,szekely_gate,114
artwork_type,figurine,105
artwork_type,woodcarving,73
artwork_type,city_entrance,66
artwork_type,falla,66
artwork_type,sign,59
artwork_type,bench,55
artwork_type,plate,51
artwork_type,plaque,47
artwork_type,sgraffito,46
artwork_type,rock,42
attraction,animal,7739
attraction,amusement_ride,630
attraction,historic,485
attraction,roller_coaster,324
attraction,carousel,198
attraction,yes,190
attraction,big_wheel,157
attraction,water_slide,138
attraction,miniature_replica,135
attraction,boat_ride,129
attraction,maze,113
attraction,train,111
attraction,winery,92
attraction,drop_tower,71
attraction,summer_toboggan,65
attraction,river_rafting,56
attraction,tourism,56
attraction,natural,49
attraction,log_flume,47
attraction,pirate_ship,46
attraction,kiddie_ride,45
attraction,swing_carousel,42
attraction,alpine_coaster,38
attraction,bumper_car,35
attraction,dark_ride,31
attraction,nature,29
attraction,formal_garden,29
attraction,wine_tasting,28
attraction,garden,26
attraction,carriage_ride,24
attraction,bungee_jumping,24
attraction,balloon_ride,23
attraction,plane,20
attraction,slide,17
attraction,artwork,17
attraction,waterfall,17
attraction,Shopping,16
attraction,swing,15
attraction,show,12
attraction,aviary,12
board_type,history,99677
board_type,nature,64289
board_type,notice,32559
board_type,wildlife,13244
board_type,plants,12889
board_type,welcome_sign,12654
board_type,public_transport,10863
board_type,geology,8393
board_type,information,6355
board_type,sport,3228
board_type,rules,3212
board_type,board,2748
board_type,map,2446
board_type,sight,2097
board_type,warning,2025
board_type,hiking,1754
board_type,tourism,1140
board_type,art,1107
board_type,technology,961
board_type,geography,920
board_type,planet_walk,731
board_type,astronomy,441
board_type,religion,422
board_type,name,367
board_type,architecture,283
board_type,history;nature,188
board_type,water_safety_boad,168
board_type,nature;history,133
board_type,infrastructure,126
board_type,hazard,118
board_type,nature;rules,99
board_type,district,97
board_type,story,90
board_type,forestry,90
board_type,song,82
board_type,panorama,69
board_type,poem,69
board_type,agriculture,67
board_type,qr,62
board_type,hiking_trails,58
brand,Ozon,32115
brand,Royal Mail,21968
brand,Subway,19251
brand,7-Eleven,18876
brand,Paczkomat InPost,18613
brand,Shell,14691
brand,HELLO CYCLING,13993
brand,Starbucks,13345
brand,Пятёрочка,12990
brand,Deutsche Post,12937
brand,Canada Post,12811
brand,Сбербанк,12553
brand,McDonald's,12013
brand,La Poste,10448
brand,DHL Packstation,9544
brand,Posten,9438
brand,Domino's,8363
brand,Магнит,8064
brand,KFC,7302
brand,Żabka,7219
brand,YouBike 2.0,7004
brand,Wildberries,6707
brand,Packeta,6546
brand,BP,6489
brand,Post Office,6452
brand,Burger King,6298
brand,7-ELEVEN,6228
brand,FamilyMart,5910
brand,Anganwadi,5773
brand,Crédit Agricole,5658
brand,Esso,5558
brand,Spar,5432
brand,Euronet,5314
brand,Почта России,5261
brand,Dunkin',5021
brand,Pizza Hut,4896
brand,Tesla Supercharger,4738
brand,Docomo Bike Share,4666
brand,Geldmaat,4583
brand,Красное&Белое,4545
building,yes,30417
building,bunker,8453
building,chapel,8235
building,mosque,7518
building,church,6638
building,wayside_shrine,3585
building,public,1945
building,kiosk,1933
building,retail,1750
building,roof,1598
building,commercial,1251
building,school,961
building,office,812
building,house,808
building,hut,668
building,temple,626
building,ruins,547
building,no,411
building,civic,406
building,toilets,330
building,cabin,320
building,supermarket,298
building,shed,285
building,industrial,283
building,residential,266
building,apartments,259
building,abandoned,250
building,shrine,228
building,religious,221
building,tulou,221
building,hotel,189
building,garage,181
building,hospital,150
building,wayside_chapel,137
building,warehouse,126
building,construction,119
building,gazebo,112
building,clinic,112
building,shop,107
building,detached,102
club,sport,2192
club,scout,1097
club,yes,378
club,social,254
club,automobile,130
club,music,113
club,culture,81
club,board_games,62
club,veterans,61
club,jazz,54
club,freemasonry,51
club,motorcycle,49
club,history,49
club,student,48
club,dog,35
club,sailing,35
club,doityourself,35
club,bicycle,33
club,linux,33
club,nature,30
club,peña,29
club,fishing,29
club,charity,28
club,art,27
