lon10,lat10,rows
0.0,40.0,3787556
10.0,40.0,2812408
0.0,50.0,2614429
10.0,50.0,2293730
-10.0,40.0,1076925
-10.0,50.0,1054416
130.0,30.0,907027
-80.0,40.0,764833
20.0,40.0,753216
20.0,50.0,670868
30.0,50.0,641755
-10.0,30.0,479040
-120.0,30.0,433628
-90.0,30.0,388547
120.0,30.0,345812
-90.0,40.0,335252
-130.0,40.0,283411
70.0,10.0,259117
-80.0,30.0,247431
-100.0,30.0,245495
30.0,40.0,241153
30.0,30.0,226923
40.0,40.0,221277
120.0,20.0,208608
20.0,30.0,206833
30.0,-10.0,202977
80.0,20.0,198740
100.0,10.0,197824
40.0,30.0,189594
120.0,10.0,187068
40.0,50.0,182537
20.0,60.0,177958
-130.0,30.0,163702
-50.0,-30.0,163648
-80.0,0.0,156614
-90.0,20.0,153323
10.0,30.0,148746
-100.0,40.0,143462
-60.0,-40.0,140709
100.0,0.0,135920
-80.0,-10.0,131894
140.0,-40.0,130804
-110.0,30.0,129939
-100.0,10.0,127221
-10.0,0.0,126454
0.0,30.0,126277
50.0,50.0,122942
140.0,30.0,121573
50.0,20.0,121106
50.0,30.0,120321
30.0,0.0,119730
90.0,20.0,118804
110.0,20.0,111856
-60.0,-30.0,110374
-80.0,-20.0,106894
10.0,60.0,104412
70.0,20.0,103516
150.0,-40.0,102516
-120.0,40.0,97210
-110.0,20.0,92933
0.0,0.0,90793
110.0,-10.0,90412
-80.0,-40.0,89547
70.0,0.0,88664
60.0,50.0,85148
-70.0,-40.0,83127
-70.0,10.0,81726
110.0,30.0,78438
100.0,20.0,77276
-100.0,20.0,75854
90.0,10.0,73328
150.0,-30.0,67041
80.0,50.0,66057
70.0,30.0,64922
100.0,-10.0,62138
170.0,-40.0,61983
30.0,60.0,60302
-70.0,-20.0,59721
-120.0,50.0,57786
-80.0,10.0,55917
-20.0,20.0,55725
70.0,40.0,55418
-90.0,10.0,54925
-50.0,-20.0,54316
60.0,20.0,51958
-10.0,10.0,51639
0.0,60.0,51308
120.0,0.0,51052
140.0,40.0,49033
-40.0,-10.0,47838
-70.0,40.0,45743
10.0,-40.0,45123
0.0,20.0,44164
80.0,10.0,42115
60.0,40.0,39777
-110.0,40.0,39458
170.0,-50.0,38009
110.0,-40.0,37131
10.0,0.0,35892
100.0,30.0,35767
20.0,-30.0,35252
70.0,50.0,34187
-50.0,-10.0,34068
90.0,0.0,33291
-20.0,10.0,31149
40.0,20.0,30875
30.0,20.0,29812
-70.0,-30.0,28925
110.0,0.0,28538
20.0,-20.0,28199
-40.0,-20.0,27956
0.0,10.0,27554
130.0,-40.0,27272
130.0,40.0,27000
60.0,30.0,25482
-90.0,0.0,25466
30.0,-20.0,25202
40.0,10.0,24731
-80.0,20.0,24477
80.0,0.0,23604
-80.0,-50.0,23510
100.0,40.0,22844
40.0,-20.0,22639
10.0,-10.0,21315
90.0,50.0,20042
50.0,-30.0,19814
20.0,-10.0,18488
40.0,60.0,18457
100.0,50.0,17653
30.0,10.0,17509
30.0,-30.0,17084
110.0,40.0,15941
50.0,40.0,15419
-60.0,0.0,14244
70.0,60.0,14221
-90.0,-10.0,14198
-110.0,50.0,13038
-110.0,10.0,13035
-20.0,0.0,12597
-30.0,60.0,11999
-20.0,30.0,11615
-130.0,50.0,11255
120.0,40.0,11042
20.0,-40.0,10652
140.0,-50.0,10301
50.0,60.0,9358
-70.0,0.0,9349
140.0,-30.0,9066
-160.0,20.0,9023
120.0,-10.0,8881
80.0,40.0,8427
20.0,0.0,8094
140.0,-20.0,7955
-30.0,30.0,7864
20.0,10.0,7834
-60.0,-20.0,7824
-70.0,-50.0,7270
-60.0,40.0,6711
10.0,10.0,6679
-150.0,60.0,6677
40.0,-30.0,6588
10.0,-30.0,6472
-80.0,-30.0,6438
10.0,20.0,6293
60.0,60.0,5927
120.0,50.0,5866
160.0,-50.0,5728
160.0,-30.0,5418
40.0,0.0,4911
150.0,50.0,4837
-70.0,-10.0,4726
10.0,-20.0,4461
-20.0,60.0,4411
-60.0,-10.0,4282
130.0,50.0,4145
110.0,50.0,4127
-30.0,10.0,3794
90.0,30.0,3351
130.0,-20.0,3350
110.0,-30.0,3339
110.0,10.0,3327
170.0,-20.0,3325
-80.0,-60.0,3302
130.0,-30.0,3298
90.0,40.0,3133
-120.0,20.0,3089
-10.0,60.0,2940
50.0,10.0,2896
140.0,-10.0,2552
-140.0,50.0,2444
20.0,70.0,2348
-70.0,-60.0,2342
130.0,-10.0,2318
-160.0,10.0,2301
-70.0,50.0,2267
-150.0,-20.0,2225
-10.0,20.0,2151
-100.0,50.0,2028
-60.0,50.0,2006
120.0,-20.0,1824
-20.0,50.0,1783
50.0,-10.0,1689
80.0,60.0,1678
120.0,60.0,1641
120.0,-40.0,1492
-110.0,-30.0,1449
-180.0,-20.0,1437
160.0,-20.0,1382
40.0,-10.0,1298
-140.0,60.0,1294
-100.0,-10.0,1249
140.0,10.0,1225
20.0,20.0,1207
-60.0,10.0,1201
-70.0,30.0,982
110.0,60.0,970
50.0,-20.0,863
-160.0,-20.0,857
30.0,-40.0,834
140.0,60.0,833
-60.0,60.0,815
-120.0,60.0,798
80.0,30.0,730
130.0,60.0,718
140.0,50.0,710
-160.0,60.0,662
-160.0,50.0,635
130.0,0.0,600
60.0,-20.0,584
150.0,-10.0,513
160.0,50.0,476
170.0,0.0,458
-40.0,30.0,443
-180.0,-30.0,441
0.0,-10.0,412
70.0,-10.0,405
150.0,60.0,390
-160.0,-30.0,358
10.0,70.0,337
