key,n,nd_approx,samples
name,15342089,10747601,"[Posto Chapadão, 地理信息学院, Sougou courani, Chicken Basket, Institución Educativa No. 38061 Rosaspampa, German Honorary Consul, El Repelao, Flowers & co]"
addr:street,4704922,803883,"[Kokkolastraße, Burtown Little, Edgewood Drive, Beethoven út, Via San Pietro, Riverside Place, Đồng Khởi, 2nd Avenue]"
addr:city,3819553,168856,"[Plauen, Prince Rupert, Almere, Biel/Bienne, Delft, 'Killough, Downpatrick', Ancona, Oldenburg in Holstein]"
addr:housenumber,3722048,187110,"[146, 37, 27, 9990, 1 D, 45, 69411, 22]"
opening_hours,3379765,745782,"['Mo-Fr 08:00-21:00; Sa 08:00-18:00', '07:00-22:00', 'Mo-Sa 14:00-22:00, Su 12:00-22:00', 'Mo-Fr 08:00-12:00, 13:00-18:00; Sa 08:00-14:00', 'Mo-Fr 08:00-17:00; Sa 08:00-12:00', '""sopimuksen mukaan""', 'Mo-Fr 6:00-6:30; Sa-Su 6:30-18:30', 'Tu-Fr 7:00-18:00;Sa 8:00-12:00']"
addr:postcode,3361476,332778,"[425413, 45452, 6871KA, 33700, 49624, 33137, 3072JP, 8005]"
operator,2606819,656356,"[governo, Njolowiwo comunity, ГУП КК «Кубаньфармация», Limasam, Comune di Genova, Chilexpress, Sparkasse Osnabrück, Município da Horta]"
website,2392831,2085955,"['https://www.starbucks.com/store-locator/store/1007581/smiths-salt-lake-city-475-3215-valley-street-salt-lake-city-ut-841094217-us', 'https://www.bigchefs.com.tr/tr-tr/moda-teras', 'http://www.studentenwerk-giessen.de/Mensen_und_Cafeterien/Mensen_und_Cafeterien/Gie%DFen/Cafeteria_CaRe.html', 'https://www.thecubanseed.com', 'http://www.metroplast.mn', 'http://www.bagelsbythepark.net', 'https://www.forumoptik.de/', 'https://atooncologia.com.br/']"
source,2345992,79982,"[Disdik Jabar 2025, BAG, Ramani Mwanza 2020, minedu.gob.pe, minedu.gob.pe, IGN - 2022-06, local_knowledge, survey]"
phone,2341818,2037596,"[+49 40 52950729, +48 609 607 151, +1-212-732-9250, +966 50 936 7960, +1 302-654-5300, 8337204, +372 731 0517, +1-217-528-8548]"
brand,2197701,73584,"[Alexela, Bakker Ammerlaan, TotalErg, Geldmaat, Lewiatan, Kawasaki, 肯德基, Subway]"
brand:wikidata,1944482,20049,"[Q266572, Q1766703, Q920037, Q117191831, Q124704323, Q7971859, Q741618, Q7420065]"
name:en,1244231,690437,"[Hotel San Francisco, 'Maison d\'Orient', Saizeriya, Super Jump Party Zone, Good vibes, Dora Toys, Veda Community Centre, House - Farm]"
cuisine,1138869,58455,"[pasta;麵包, sandwich, ice_cream;bubble_tea, chinese, mediterranean, pizza, indian, coffee_shop;pancake;sandwich;cake]"
