key_group,distinct_keys,n,pair_share
addr:*,581,20098019,0.144
amenity,1,17089859,0.1225
name,1,15342089,0.1099
shop,1,5529291,0.0396
brand:*,242,3446361,0.0247
opening_hours,1,3379765,0.0242
name:*,1289,3368992,0.0241
tourism,1,3167406,0.0227
contact:*,552,3075917,0.022
operator,1,2606819,0.0187
website,1,2392831,0.0171
source,1,2345992,0.0168
phone,1,2341818,0.0168
brand,1,2197701,0.0157
backrest,1,2149826,0.0154
payment:*,2508,1884941,0.0135
check_date,1,1858105,0.0133
operator:*,326,1765858,0.0127
material,1,1585527,0.0114
leisure,1,1553628,0.0111
historic,1,1483229,0.0106
wheelchair,1,1431795,0.0103
information,1,1388986,0.01
access,1,1195509,0.0086
recycling:*,694,1149262,0.0082
cuisine,1,1138869,0.0082
capacity,1,1011443,0.0072
office,1,1009292,0.0072
ref:*,1723,974535,0.007
ref,1,967766,0.0069
covered,1,894915,0.0064
healthcare,1,801927,0.0057
description,1,766293,0.0055
fee,1,750071,0.0054
religion,1,722601,0.0052
level,1,684037,0.0049
bicycle_parking,1,630986,0.0045
email,1,598554,0.0043
source:*,668,591696,0.0042
colour,1,544052,0.0039
seats,1,541109,0.0039
ele,1,522440,0.0037
recycling_type,1,492588,0.0035
note,1,401784,0.0029
hiking,1,373104,0.0027
outdoor_seating,1,356655,0.0026
check_date:*,157,354411,0.0025
toilets:*,144,351294,0.0025
waste,1,348758,0.0025
takeaway,1,347783,0.0025
vending,1,344607,0.0025
internet_access,1,336541,0.0024
memorial,1,334657,0.0024
parking,1,333869,0.0024
denomination,1,297376,0.0021
board_type,1,290409,0.0021
craft,1,287925,0.0021
start_date,1,281204,0.002
fuel:*,483,280133,0.002
wikidata,1,276672,0.002
survey:*,20,274970,0.002
artwork_type,1,272579,0.002
branch,1,264735,0.0019
gnis:*,12,255936,0.0018
socket:*,283,239899,0.0017
location,1,237121,0.0017
direction,1,227316,0.0016
inscription,1,220263,0.0016
sport,1,218720,0.0016
armrest,1,215194,0.0015
diet:*,230,211921,0.0015
network,1,204542,0.0015
collection_times,1,204040,0.0015
bicycle,1,193842,0.0014
alt_name,1,181887,0.0013
drive_through,1,179302,0.0013
isced:*,9,178744,0.0013
service:*,1186,175932,0.0013
image,1,173490,0.0012
indoor_seating,1,168574,0.0012
KSJ2:*,14,160524,0.0012
man_made,1,159778,0.0011
shelter_type,1,154061,0.0011
currency:*,306,152178,0.0011
indoor,1,151166,0.0011
fixme,1,148122,0.0011
atm,1,147329,0.0011
smoking,1,145631,0.001
parking_space,1,143973,0.001
lit,1,142838,0.001
official_name,1,140270,0.001
post_box:*,29,139238,0.001
healthcare:*,84,138463,0.001
archaeological_site,1,130204,0.0009
dispensing,1,128340,0.0009
swimming_pool,1,128263,0.0009
wikimedia_commons,1,126501,0.0009
fhrs:*,19,121296,0.0009
note:*,337,119172,0.0009
source_ref,1,118973,0.0009
authentication:*,69,118917,0.0009
bench,1,118684,0.0009
short_name,1,117563,0.0008
network:*,52,117239,0.0008
artist_name,1,112280,0.0008
internet_access:*,69,108815,0.0008
surface,1,106579,0.0008
support,1,105658,0.0008
opening_hours:*,373,103311,0.0007
wikipedia,1,100066,0.0007
fax,1,97790,0.0007
post:*,31,94989,0.0007
male,1,92921,0.0007
toilets,1,90972,0.0007
mapillary,1,90854,0.0007
object:*,45,90695,0.0006
air_conditioning,1,89493,0.0006
drinking_water,1,89477,0.0006
historic:*,88,87981,0.0006
description:*,250,86413,0.0006
clothes,1,85940,0.0006
building,1,85385,0.0006
delivery,1,84946,0.0006
memorial:*,70,83199,0.0006
female,1,81900,0.0006
government,1,80925,0.0006
shelter,1,80168,0.0006
capacity:*,260,75953,0.0005
social_facility,1,71506,0.0005
motorcar,1,70784,0.0005
url,1,70446,0.0005
subject:*,90,70391,0.0005
map_type,1,70381,0.0005
map_size,1,68570,0.0005
unisex,1,68414,0.0005
self_service,1,67642,0.0005
old_name,1,66472,0.0005
royal_cypher,1,65813,0.0005
parcel_mail_in,1,65490,0.0005
alt_name:*,182,65162,0.0005
layer,1,62257,0.0004
parcel_pickup,1,61225,0.0004
height,1,60789,0.0004
bin,1,60147,0.0004
