key,n,row_ratio,nd_approx,dup_ratio,avg_len,med_len,max_len,multi_ratio,yes_no_ratio,numeric_ratio,url_ratio,phone_ratio,qid_ratio,upper_ratio,non_ascii_ratio,long_ratio,token_ratio,min_level,med_level
amenity,17089859,0.56867,6075,0.9996,9.0,8.0,143,0.0002,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.9997,0,11.0
name,15342089,0.51051,10747601,0.2995,15.7,14.0,255,0.0004,0.0,0.0023,0.0,0.0003,0.0001,0.8663,0.3284,0.0261,0.0063,0,11.0
shop,5529291,0.18399,8663,0.9984,8.5,8.0,249,0.0013,0.0223,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.9973,0,12.0
addr:street,4704922,0.15656,803883,0.8291,15.7,15.0,245,0.0002,0.0,0.0011,0.0,0.0001,0.0,0.9352,0.3316,0.0096,0.0023,0,12.0
addr:city,3819553,0.1271,168856,0.9558,8.7,8.0,139,0.0,0.0,0.0,0.0,0.0,0.0,0.9111,0.25,0.0005,0.0047,0,11.0
addr:housenumber,3722048,0.12385,187110,0.9497,2.8,2.0,255,0.0012,0.0,0.859,0.0,0.011,0.0,0.0535,0.0229,0.0008,0.8817,0,12.0
opening_hours,3379765,0.11246,745782,0.7793,27.2,17.0,255,0.393,0.0,0.0001,0.0,0.0001,0.0,0.809,0.0039,0.1995,0.0017,0,12.0
addr:postcode,3361476,0.11185,332778,0.901,5.4,5.0,255,0.0001,0.0,0.7805,0.0,0.1572,0.0006,0.1385,0.0003,0.0,0.7804,0,11.0
tourism,3167406,0.1054,943,0.9997,9.5,11.0,125,0.0001,0.0019,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,0,10.0
operator,2606819,0.08674,656356,0.7482,15.7,13.0,255,0.0037,0.0001,0.0008,0.0013,0.0003,0.0001,0.9241,0.2695,0.0355,0.0162,0,11.0
website,2392831,0.07962,2085955,0.1282,38.7,31.0,255,0.0005,0.0,0.0,0.9869,0.0001,0.0,0.0565,0.0038,0.2972,0.0001,0,11.0
source,2345992,0.07806,79982,0.9659,18.8,13.0,255,0.0511,0.0,0.0,0.0282,0.0001,0.0,0.5998,0.0878,0.1019,0.2321,0,11.0
phone,2341818,0.07792,2037596,0.1299,14.9,15.0,255,0.0177,0.0,0.1713,0.0,0.9714,0.0,0.0003,0.0023,0.0029,0.0637,0,11.0
brand,2197701,0.07313,73584,0.9665,9.2,8.0,255,0.0029,0.0,0.0005,0.0,0.0,0.0011,0.8983,0.2121,0.0014,0.0114,0,11.0
backrest,2149826,0.07154,71,1.0,2.8,3.0,45,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,12.0
brand:wikidata,1944482,0.0647,20049,0.9897,8.1,8.0,53,0.0001,0.0,0.0,0.0,0.0,0.9999,1.0,0.0,0.0,0.0,0,12.0
check_date,1858105,0.06183,5069,0.9973,10.0,10.0,43,0.0,0.0,0.0008,0.0,0.9991,0.0,0.0,0.0,0.0,0.0008,0,12.0
material,1585527,0.05276,2963,0.9981,4.9,4.0,255,0.0106,0.0,0.0,0.0,0.0,0.0,0.0004,0.0003,0.0002,0.9969,0,12.0
leisure,1553628,0.0517,885,0.9994,11.0,12.0,58,0.0001,0.0006,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,0,11.0
historic,1483229,0.04935,2690,0.9982,10.8,8.0,90,0.0001,0.0305,0.0,0.0,0.0,0.0,0.0004,0.0003,0.0,0.9991,0,10.0
wheelchair,1431795,0.04764,160,0.9999,3.4,3.0,76,0.0001,0.8426,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.9998,0,12.0
information,1388986,0.04622,1422,0.999,7.3,9.0,255,0.0005,0.0011,0.0,0.0,0.0,0.0,0.0005,0.0002,0.0001,0.9992,0,10.0
name:en,1244231,0.0414,690437,0.4451,15.7,13.0,255,0.0004,0.0,0.0007,0.0,0.0001,0.0,0.9675,0.0309,0.0235,0.0086,0,11.0
access,1195509,0.03978,110,0.9999,5.3,3.0,36,0.0003,0.5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0,11.0
cuisine,1138869,0.0379,58455,0.9487,9.7,7.0,253,0.1646,0.0001,0.0,0.0,0.0,0.0,0.0029,0.0055,0.0128,0.9872,0,12.0
capacity,1011443,0.03366,2959,0.9971,1.4,1.0,197,0.0001,0.0,0.9954,0.0,0.0001,0.0,0.0011,0.0004,0.0003,0.9848,0,12.0
office,1009292,0.03358,4347,0.9957,9.5,9.0,255,0.0002,0.0505,0.0,0.0,0.0,0.0,0.0012,0.0002,0.0001,0.9983,0,11.0
ref,967766,0.0322,643574,0.335,7.2,6.0,255,0.0161,0.0,0.4818,0.0003,0.1676,0.0,0.4212,0.035,0.0077,0.5038,0,11.0
covered,894915,0.02978,65,0.9999,2.2,2.0,86,0.0,0.9795,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,12.0
healthcare,801927,0.02668,940,0.9988,7.8,8.0,206,0.0011,0.0173,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0002,0.9994,0,11.0
addr:country,801689,0.02668,298,0.9996,2.0,2.0,26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12.0
contact:phone,784803,0.02611,517568,0.3405,16.4,14.0,214,0.0989,0.0,0.0949,0.0,0.8897,0.0,0.0002,0.0005,0.0201,0.0675,0,11.0
addr:state,784752,0.02611,1278,0.9984,3.9,2.0,64,0.0,0.0,0.0001,0.0,0.0,0.0,0.9783,0.0437,0.0,0.001,0,10.0
description,766293,0.0255,504500,0.3416,49.8,30.0,255,0.0429,0.0,0.0018,0.0027,0.0007,0.0,0.8685,0.4322,0.3762,0.015,0,11.0
operator:wikidata,751292,0.025,14348,0.9809,7.8,8.0,40,0.0001,0.0,0.0,0.0,0.0,0.9999,1.0,0.0,0.0,0.0,0,11.0
fee,750071,0.02496,2482,0.9967,2.5,2.0,255,0.0004,0.9924,0.0006,0.0,0.0,0.0,0.0047,0.0006,0.0016,0.9941,0,12.0
religion,722601,0.02404,917,0.9987,8.1,9.0,74,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.9993,0,9.0
level,684037,0.02276,1462,0.9979,1.2,1.0,78,0.0139,0.0,0.9828,0.0,0.0,0.0,0.0008,0.0003,0.0,0.8981,0,13.0
brand:wikipedia,663840,0.02209,9682,0.9854,15.5,14.0,148,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.9228,0.2685,0.0069,0.0,0,12.0
contact:website,649325,0.02161,203894,0.686,28.0,24.0,255,0.001,0.0,0.0,0.992,0.0,0.0,0.0146,0.0077,0.1121,0.0,0,11.0
bicycle_parking,630986,0.021,549,0.9991,6.8,6.0,255,0.0001,0.0005,0.0001,0.0,0.0,0.0,0.0005,0.0002,0.0,0.9981,0,12.0
email,598554,0.01992,661012,-0.1043,23.2,23.0,195,0.0039,0.0,0.0,0.0001,0.0,0.0,0.0336,0.0012,0.0094,0.0001,0,11.0
addr:district,552358,0.01838,14386,0.974,9.5,8.0,104,0.0,0.0,0.0014,0.0,0.0,0.0,0.8063,0.2722,0.0,0.0056,0,10.0
colour,544052,0.0181,5374,0.9901,5.1,5.0,255,0.0142,0.0,0.0001,0.0,0.0,0.0,0.0116,0.0021,0.0001,0.9416,0,12.0
seats,541109,0.01801,260,0.9995,1.0,1.0,92,0.0,0.0001,0.9988,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.999,0,12.0
ele,522440,0.01738,18484,0.9646,3.1,3.0,80,0.0002,0.0,0.9988,0.0,0.0166,0.0,0.0002,0.0001,0.0,0.9663,0,8.0
recycling_type,492588,0.01639,96,0.9998,9.0,9.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.9997,0,11.0
operator:type,449528,0.01496,1004,0.9978,7.4,7.0,255,0.0001,0.0,0.0,0.0,0.0,0.0,0.0051,0.0009,0.0,0.9926,0,10.0
note,401784,0.01337,152289,0.621,49.0,38.0,255,0.0218,0.0,0.0035,0.0053,0.0014,0.0,0.8674,0.2059,0.4869,0.0123,0,10.0
hiking,373104,0.01242,30,0.9999,3.0,3.0,28,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10.0
contact:email,357841,0.01191,246944,0.3099,21.1,20.0,242,0.0023,0.0,0.0,0.0001,0.0,0.0,0.0399,0.0016,0.0052,0.0001,0,11.0
outdoor_seating,356655,0.01187,155,0.9996,2.9,3.0,90,0.0007,0.9608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0,12.0
waste,348758,0.01161,2183,0.9937,7.1,5.0,224,0.0852,0.0002,0.0,0.0,0.0,0.0,0.0021,0.0013,0.0012,0.9949,0,12.0
takeaway,347783,0.01157,99,0.9997,3.1,3.0,119,0.0001,0.9228,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.9998,0,12.0
vending,344607,0.01147,3956,0.9885,12.7,14.0,219,0.029,0.0013,0.0,0.0,0.0,0.0,0.0013,0.0008,0.001,0.9962,0,12.0
addr:province,340195,0.01132,2774,0.9918,6.0,5.0,104,0.0,0.0,0.0001,0.0,0.0,0.0,0.4848,0.5808,0.0,0.0071,0,11.0
source:date,336553,0.0112,9483,0.9718,9.9,10.0,114,0.0012,0.0,0.104,0.0,0.8497,0.0,0.0284,0.0,0.0,0.1043,0,11.0
internet_access,336541,0.0112,155,0.9995,3.6,4.0,98,0.0009,0.283,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.9996,0,11.0
memorial,334657,0.01114,1300,0.9961,8.1,6.0,109,0.0006,0.0042,0.0,0.0,0.0,0.0,0.0006,0.0005,0.0001,0.9988,0,11.0
parking,333869,0.01111,159,0.9995,9.1,11.0,59,0.0,0.0193,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.9284,0,11.0
contact:facebook,324836,0.01081,199418,0.3861,38.3,37.0,255,0.0006,0.0,0.0123,0.8267,0.0124,0.0,0.3678,0.0055,0.3418,0.0829,0,12.0
brand:en,320138,0.01065,4060,0.9873,10.4,10.0,57,0.0,0.0,0.0001,0.0,0.0,0.0,0.9921,0.0095,0.0011,0.0066,0,11.0
payment:cash,308956,0.01028,79,0.9997,2.9,3.0,59,0.0001,0.9931,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.9998,0,12.0
denomination,297376,0.0099,2456,0.9917,9.7,8.0,255,0.0004,0.0,0.0,0.0,0.0,0.0,0.0044,0.0031,0.0002,0.9915,0,9.0
board_type,290409,0.00966,1437,0.9951,7.3,7.0,219,0.0058,0.0,0.0,0.0,0.0,0.0,0.0011,0.0006,0.0002,0.9973,0,11.0
craft,287925,0.00958,2440,0.9915,10.4,10.0,102,0.003,0.0112,0.0,0.0,0.0,0.0,0.0004,0.0002,0.0002,0.9986,0,11.0
addr:full,283415,0.00943,218457,0.2292,23.9,19.0,250,0.0032,0.0,0.0001,0.0,0.0001,0.0,0.774,0.2702,0.1434,0.0009,0,10.0
start_date,281204,0.00936,31659,0.8874,6.7,4.0,158,0.0013,0.0,0.5145,0.0,0.4256,0.0,0.0404,0.0017,0.0001,0.5168,0,11.0
wikidata,276672,0.00921,295119,-0.0667,9.0,9.0,255,0.0001,0.0,0.0,0.0,0.0,0.9999,1.0,0.0,0.0,0.0,0,10.0
name:ru,274097,0.00912,102371,0.6265,13.5,10.0,188,0.0001,0.0,0.0009,0.0,0.0001,0.0,0.982,0.9804,0.0312,0.0008,0,11.0
survey:date,273464,0.0091,5243,0.9808,10.0,10.0,49,0.0003,0.0,0.0026,0.0,0.9933,0.0,0.0,0.0,0.0,0.003,0,12.0
artwork_type,272579,0.00907,931,0.9966,7.6,8.0,67,0.0002,0.0,0.0,0.0,0.0,0.0,0.0016,0.0005,0.0001,0.9975,0,12.0
branch,264735,0.00881,136016,0.4862,11.2,9.0,185,0.0004,0.0001,0.0097,0.0001,0.0008,0.0,0.6674,0.4689,0.0078,0.0138,0,12.0
addr:suburb,262785,0.00874,43411,0.8348,9.4,9.0,60,0.0,0.0,0.0009,0.0,0.0,0.0,0.9205,0.2004,0.0002,0.0064,0,11.0
gnis:feature_id,255667,0.00851,255877,-0.0008,6.6,7.0,31,0.0012,0.0,0.9988,0.0,0.9667,0.0,0.0,0.0,0.0,1.0,0,7.0
payment:credit_cards,251850,0.00838,66,0.9997,2.9,3.0,84,0.0001,0.9991,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.9998,0,12.0
check_date:opening_hours,247370,0.00823,2660,0.9892,10.0,10.0,21,0.0,0.0,0.0,0.0,0.9995,0.0,0.0,0.0004,0.0,0.0,0,12.0
location,237121,0.00789,2506,0.9894,8.1,7.0,224,0.0005,0.0001,0.0,0.0,0.0001,0.0,0.0101,0.0017,0.0014,0.9876,0,12.0
ref:FR:SIRET,231906,0.00772,228075,0.0165,14.0,14.0,104,0.0017,0.0,0.9982,0.0,0.9983,0.0,0.0001,0.0,0.0005,0.9999,0,12.0
direction,227316,0.00756,4917,0.9784,2.9,3.0,227,0.0257,0.0,0.802,0.0,0.023,0.0,0.1367,0.0007,0.0003,0.8185,0,12.0
inscription,220263,0.00733,165147,0.2502,69.4,54.0,255,0.0239,0.0043,0.0258,0.0005,0.009,0.0,0.8971,0.4603,0.5715,0.0317,0,11.0
sport,218720,0.00728,8416,0.9615,9.3,8.0,255,0.0491,0.0003,0.0,0.0,0.0,0.0,0.002,0.0018,0.0064,0.9922,0,11.0
contact:instagram,215606,0.00717,105667,0.5099,32.5,35.0,255,0.0006,0.0,0.0,0.7416,0.0001,0.0,0.0148,0.0002,0.246,0.2022,0,12.0
armrest,215194,0.00716,20,0.9999,2.3,2.0,9,0.0,0.9987,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.0
name:ja,213442,0.0071,100264,0.5303,6.9,6.0,90,0.0001,0.0,0.0,0.0,0.0,0.0,0.0457,0.9908,0.0001,0.0004,0,11.0
payment:debit_cards,209310,0.00696,54,0.9997,2.9,3.0,93,0.0,0.9988,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.999,0,12.0
