key,n,row_ratio_jp
name,1086164,0.7694
amenity,838464,0.5939
shop,299081,0.2118
name:en,285153,0.202
source,210518,0.1491
name:ja,201295,0.1426
brand,157939,0.1119
addr:city,153397,0.1087
addr:housenumber,149874,0.1062
brand:wikidata,145663,0.1032
addr:province,139100,0.0985
tourism,127483,0.0903
brand:ja,118451,0.0839
brand:en,116357,0.0824
note,113718,0.0806
source_ref,102955,0.0729
addr:postcode,101801,0.0721
addr:street,100428,0.0711
note:ja,98834,0.07
name:ko,97779,0.0693
cuisine,96812,0.0686
phone,93230,0.066
opening_hours,91856,0.0651
operator,81420,0.0577
level,68519,0.0485
historic,65287,0.0462
website,64413,0.0456
branch,61002,0.0432
addr:block_number,59286,0.042
information,59082,0.0418
check_date,56953,0.0403
religion,53604,0.038
KSJ2:PubFacAdmin,52790,0.0374
KSJ2:ADS,52374,0.0371
addr:neighbourhood,51953,0.0368
healthcare,50861,0.036
brand:wikipedia,50720,0.0359
office,50552,0.0358
name:ko-Latn,48784,0.0346
KSJ2:AdminArea,47608,0.0337
vending,43649,0.0309
fee,34754,0.0246
addr:subdistrict,34574,0.0245
wheelchair,34359,0.0243
addr:quarter,32856,0.0233
capacity,29627,0.021
leisure,28711,0.0203
operator:wikidata,28545,0.0202
operator:en,27868,0.0197
material,27430,0.0194
name:ja-Hira,26975,0.0191
takeaway,26960,0.0191
addr:district,25151,0.0178
wikidata,24336,0.0172
social_facility,24085,0.0171
name:ja_rm,23992,0.017
backrest,23943,0.017
authentication:app,22463,0.0159
operator:ja,21600,0.0153
memorial,20277,0.0144
contact:website,19968,0.0141
gbfs:system_id,19731,0.014
gbfs:station_id,19730,0.014
addr:suburb,18514,0.0131
ref,17537,0.0124
network,17313,0.0123
operator:short,16873,0.012
operator:short:ja,16672,0.0118
operator:short:en,16672,0.0118
access,15740,0.0111
payment:cash,15180,0.0108
wikipedia,14732,0.0104
internet_access,14418,0.0102
network:wikidata,14322,0.0101
network:ja,14022,0.0099
official_name:en,13657,0.0097
artwork_type,13506,0.0096
parking,12801,0.0091
description,12616,0.0089
brand:ko,12442,0.0088
name:es,11951,0.0085
seats,11764,0.0083
name:ja-Latn,11330,0.008
board_type,10954,0.0078
addr:town,10581,0.0075
atm,10225,0.0072
isced:level,9910,0.007
name:pt,9494,0.0067
contact:phone,9284,0.0066
addr:floor,9280,0.0066
brand:website,8845,0.0063
operator:type,8679,0.0061
source:date,8318,0.0059
craft,8213,0.0058
colour,7707,0.0055
name:zh,7643,0.0054
payment:coins,7611,0.0054
covered,7532,0.0053
