level,key,n,row_ratio
0,name,5028,0.6205
0,amenity,3920,0.4838
0,tourism,1528,0.1886
0,shop,1066,0.1316
0,addr:street,805,0.0993
0,source,790,0.0975
0,addr:city,721,0.089
0,historic,716,0.0884
0,name:en,587,0.0724
0,addr:postcode,576,0.0711
0,operator,574,0.0708
0,opening_hours,555,0.0685
0,addr:housenumber,506,0.0624
0,phone,480,0.0592
0,leisure,427,0.0527
1,name,9915,0.6028
1,amenity,8732,0.5309
1,tourism,3264,0.1984
1,shop,1807,0.1099
1,source,1716,0.1043
1,addr:street,1465,0.0891
1,addr:city,1401,0.0852
1,name:en,1223,0.0744
1,historic,1202,0.0731
1,addr:postcode,1178,0.0716
1,operator,1024,0.0623
1,opening_hours,989,0.0601
1,addr:housenumber,861,0.0523
1,phone,859,0.0522
1,religion,856,0.052
2,name,28641,0.6126
2,amenity,25355,0.5423
2,tourism,8819,0.1886
2,source,5839,0.1249
2,shop,4574,0.0978
2,addr:city,4185,0.0895
2,addr:street,4080,0.0873
2,historic,3647,0.078
2,addr:postcode,3609,0.0772
2,name:en,3149,0.0674
2,operator,3071,0.0657
2,religion,2870,0.0614
2,opening_hours,2710,0.058
2,leisure,2409,0.0515
2,addr:housenumber,2287,0.0489
3,name,74202,0.6201
3,amenity,67259,0.562
3,tourism,21182,0.177
3,source,17069,0.1426
3,addr:city,11061,0.0924
3,addr:postcode,10442,0.0873
3,shop,10302,0.0861
3,addr:street,10052,0.084
3,historic,9429,0.0788
3,religion,8628,0.0721
3,operator,8561,0.0715
3,ele,7736,0.0646
3,addr:district,7366,0.0616
3,name:en,7185,0.06
3,addr:state,7169,0.0599
4,name,167170,0.6234
4,amenity,152382,0.5682
4,tourism,44112,0.1645
4,source,41909,0.1563
4,addr:postcode,25988,0.0969
4,addr:city,25468,0.095
4,ele,23671,0.0883
4,religion,23351,0.0871
4,historic,23202,0.0865
4,addr:street,22690,0.0846
4,shop,20511,0.0765
4,addr:district,20408,0.0761
4,operator,19417,0.0724
4,addr:state,18909,0.0705
4,gnis:feature_id,18863,0.0703
5,name,311471,0.5999
5,amenity,293998,0.5662
5,tourism,83078,0.16
5,source,78547,0.1513
5,historic,51792,0.0997
5,ele,50891,0.098
5,religion,49291,0.0949
5,addr:city,49172,0.0947
5,addr:postcode,47213,0.0909
5,addr:street,44485,0.0857
5,gnis:feature_id,39956,0.077
5,shop,38547,0.0742
5,operator,37047,0.0713
5,addr:district,36789,0.0709
5,addr:state,32792,0.0632
6,amenity,474919,0.5474
6,name,469039,0.5406
6,tourism,148429,0.1711
6,source,109105,0.1258
6,historic,96691,0.1114
6,addr:city,78563,0.0906
6,addr:street,77522,0.0894
6,shop,70892,0.0817
6,addr:postcode,68780,0.0793
6,operator,67029,0.0773
6,religion,66161,0.0763
6,ele,61059,0.0704
6,addr:housenumber,53015,0.0611
6,information,51732,0.0596
6,opening_hours,50298,0.058
7,amenity,737041,0.5384
7,name,677371,0.4948
7,tourism,238880,0.1745
7,historic,142696,0.1042
