key,multi_pairs,occurrences,avg_parts
collection_times,11661,102297,2.47
waste,1461,29700,3.82
isced:level,77,23541,2.87
healthcare:speciality,12063,22690,4.19
clothes,3522,20341,4.63
material,938,16816,2.4
direction_east,13445,14333,2.73
direction_northeast,11366,12020,2.74
direction_southwest,11221,11884,2.77
direction_southeast,10906,11552,2.75
direction_northwest,10729,11394,2.76
sport,5664,10746,3.73
vending,2416,9977,3.63
level,361,9529,3.72
network,686,8327,3.03
toilets:position,65,7866,3.06
beauty,3501,7776,4.83
colour,400,7752,2.47
shop,2509,6969,2.42
source:form,21,5915,2.0
direction,1297,5841,2.44
memorial:conflict,293,5203,3.3
description:es,165,4540,3.7
service,347,3624,3.29
brewery,2441,3540,3.76
addr:floor,142,3244,2.74
product,1894,3169,4.4
amenity,750,2774,2.13
is_in,207,2640,3.21
opening_hours:kitchen,2247,2304,2.55
destination:distance,2287,2301,3.44
seasonal,25,2037,2.72
rental,245,1776,3.15
money_transfer,61,1736,2.69
board_type,380,1683,2.57
service_times,1459,1655,2.52
source:version,7,1639,2.0
cargo,38,1628,2.42
social_facility:for,392,1513,2.7
opening_hours:drive_through,807,1507,2.69
internet_access:operator,25,1485,2.8
payment:coins:denominations,68,1469,3.88
recycling:glass_bottles:colour,11,1464,2.27
route_ref,1069,1448,3.87
opening_hours:covid19,1144,1302,2.71
usage,6,1207,2.17
cash_withdrawal,17,1197,2.35
destination:duration,1151,1158,4.18
fuel,20,1138,2.35
valves,50,1116,2.76
license_classes,574,1060,7.26
nysgissam:nysaddresspointid,956,971,4.09
charge,625,954,2.51
capacity:note,39,919,2.05
craft,466,857,2.53
healthcare,300,855,2.97
direction_north:route,676,853,3.18
direction_south:route,665,840,3.11
direction_southwest:route,650,833,3.13
direction_southeast:route,641,814,3.14
direction_northwest:route,627,795,3.08
direction_east:route,615,791,3.16
direction_northeast:route,631,789,3.16
ref:nid,780,787,2.28
direction_west:route,605,762,3.18
books,272,733,3.67
source:position,92,720,2.16
source:geometry,54,719,2.33
school:type,75,710,3.44
dance:style,603,685,4.95
comment,160,666,2.83
information,71,657,2.06
produce,502,603,3.77
post_office:brand,239,562,2.75
was:name,561,561,2.24
consulting,511,553,3.91
source:health_facility,20,535,2.5
shoes,137,530,3.65
target,330,512,4.89
bike_ride,10,490,2.5
addr:block,143,483,2.01
fixme:atp,2,482,2.0
payment:notes:denominations,35,478,3.66
sensory_friendly:accommodation,3,450,3.33
post_office:service_provider,106,450,2.73
ele:source,6,432,2.0
socket:type2_combo:output,170,415,2.22
agrarian,239,409,3.91
tourism,113,403,2.09
