key_a,key_b,rows
amenity,healthcare,652165
leisure,sport,202263
amenity,man_made,86245
amenity,shop,60303
amenity,building,53253
amenity,public_transport,49858
historic,tourism,34799
craft,man_made,34335
amenity,tourism,31124
historic,place,28067
historic,man_made,26681
amenity,emergency,18478
highway,tourism,17587
craft,shop,17582
building,historic,16462
natural,tourism,16166
office,shop,14821
amenity,office,14688
attraction,tourism,11664
amenity,historic,11519
man_made,tourism,11224
amenity,highway,10250
emergency,healthcare,10244
amenity,sport,8952
historic,natural,8930
leisure,tourism,8808
amenity,leisure,8765
amenity,natural,8677
building,shop,8060
shop,sport,6320
healthcare,shop,4904
building,tourism,4763
highway,public_transport,3947
craft,office,3937
shop,tourism,3886
amenity,club,3627
healthcare,office,3451
building,office,3231
amenity,craft,3144
place,tourism,2981
emergency,tourism,2650
sport,tourism,2168
building,leisure,2061
club,sport,1976
highway,historic,1706
man_made,natural,1549
man_made,shop,1497
emergency,man_made,1366
emergency,highway,1282
public_transport,tourism,1273
leisure,man_made,1265
club,leisure,1146
historic,landuse,1115
craft,tourism,1059
building,sport,1057
building,healthcare,1055
leisure,shop,998
leisure,natural,944
amenity,landuse,913
landuse,shop,858
emergency,office,837
man_made,office,835
historic,leisure,828
club,office,827
amenity,place,824
historic,railway,732
emergency,historic,614
building,man_made,610
office,tourism,600
office,sport,575
building,landuse,510
public_transport,railway,468
natural,sport,459
building,craft,450
historic,sport,415
railway,tourism,394
amenity,railway,378
highway,shop,372
attraction,historic,363
leisure,office,346
leisure,place,273
public_transport,shop,272
landuse,leisure,272
office,place,260
landuse,tourism,259
landuse,office,253
emergency,leisure,250
healthcare,leisure,230
club,shop,216
amenity,attraction,206
natural,place,198
highway,man_made,196
historic,shop,195
natural,shop,186
building,place,152
attraction,leisure,142
place,shop,139
building,public_transport,134
healthcare,sport,132
attraction,natural,132
