ntags,rows
1,4979141
2,6649183
3,4139550
4,3263538
5,2460498
6,1809846
7,1324047
8,1104471
9,925981
10,732082
11,649056
12,471041
13,344970
14,268373
15,226998
16,161295
17,114144
18,85349
19,63703
20,49149
21,37627
22,32942
23,23120
24,18766
25,17403
26,17198
27,13831
28,10575
29,8577
30,6505
31,6820
32,3962
33,2804
34,2072
35,1704
36,1885
37,4558
38,2119
39,1310
40,1205
41,2117
42,2026
43,908
44,773
45,579
46,815
47,722
48,360
49,202
50,248
51,641
52,1034
53,1673
54,754
55,253
56,197
57,239
58,164
59,101
60,81
61,56
62,60
63,65
64,61
65,53
66,45
67,39
68,26
69,33
70,24
71,34
72,19
73,15
74,8
75,5
76,7
77,8
78,6
79,8
80,4
81,11
82,5
83,6
84,2
85,2
86,4
87,3
88,2
89,2
90,1
91,1
92,2
93,5
94,12
95,27
96,69
97,52
98,50
99,32
100,18
101,19
102,14
103,20
104,13
105,7
106,4
107,7
108,5
110,2
114,1
124,1
125,1
147,1
177,1
195,1
